IE.CELTIC.IRISH,mye-myiS3,fily,knav,Tix,tar,eg-faCbas,madr3,ol,klu3s,suly,tyiny3,i3sk,lan,lav,kliny,airk,gluny,dily3-dilyog,e,myil,Slyi3v,any3my,ur-nu3,iS3,sok,in,kosan-kon3ry,diny3,fyET,Tnyas-kraT3n,riny-relt3,klox,Cryi3n,tyaNg3,fyi3k3ly,kran,ga,iST3,Siny,tu-tus3
IE.CELTIC.IRISH_GAELIC,mye,kro-fiL,knav,brol3x-kux,tar-tyen3,eg-ibas,ku-madr3,ol,klu3s,suL-rosk,tyi53,i3sk,lan,lav-krov,kloS-kli5,airk-byan,glu5,diLog,kru3e-e,sor-mil,SLi3v,a53my,nu3,ixy3,sron-gisan,in,kosan-kon3ry,di53-dini,aurk-fyeky,ky5as-kraky3n,relt3-ri5,klox,gyryi3n,tyaNg3,dyed-fyi3k3L,kran-bile,xa-da,iSky3,midy-Si5,tu-hu
IE.CELTIC.MANX,me,fol,krew,kix,Cit,ge8inbes,ma83,iu,kleS,suly,ail-Ce53,yis,lan,l3w,klaStin,eak,glyu5,dolyag,en,mil,slyu-Slyu,en3m,noa,ei-i,strui5-strai5,un-nen,red-rad,du53,fakin,krax3n,roleg,klax,grin,Ci53,fix3l,bily3,de-jis,uSty3,Sin,Siu
IE.CELTIC.OLD_IRISH,me,fuil,knaim,kix,dotet,atbail,ku,ibid,kluas,suil,tene-daig,iask-yask,lan,lam,rokluine8ar,adark,glun,duile,,mil,sliab,ainm,nue,adaig,sron,oen,slige-bo8ar,duine,adki,knes,retglu,lie-klox,grian,teNgae,det,kran,dau,uiske-wiske,sni,tu
IE.CELTIC.PROTO_CELTIC,me-mi,kruwos-waito,askorno-knami,brondyo-bronda,tuage-tuago,adbale-adbalo,kwu-kun,degu-potlo,ausos-klousta,lukato-proskwo,aidu-deget,peisko,plano,glako-plama,klewe-klewo,bena-korno,glugno-kwenoglino,dalinyo-dula,awowo,lous-soro,brig-monyo,anman-stlundo,newyo,adakwi-nokw,strokna-trugna,oino-oiwo,lergo,donyo,derke-derko,keni-sekya,ster,arto-galo,sawel-suli,liguru-tabat,dant,kwrano,dwei-dwaw,akwa-dubro,snis,tu
IE.CELTIC.WELSH,mi,gwa3d,asgurn,bron-du3vron,do-d3vo,maru,ki,3vE,kl3st,L3gad,ton,p3sgod3n-p3sgod,Laun,Lau,kl3uE,korn,glin,d3ilEn-dalEn,ia3-av3,L33En,m3n38,Enu,nEu38,nos,tru3n,3n,Lu3br,d3n-gur,gwEl-kanvo,kro3n,sErEn,karEg-ma3n,ha3l,tavod,dant,prEn-ko3dEn,da3-du3,dur-duvr,ni,ti
IE.CELTIC.WELSH_2,vi,gwaid,asgurn,bron,dod,maru,ki,3vEd,klist,L3gad,ton,p3sgod,Laun,Lau,kl3uEd,korn,glin,dEilEn,iai,LEiEn,m3ni8,Enu,nEui8,nos,truin,in,Luibr,din,gwEld,kroin,sErEn,karrEg,hail,tavod,dant,koidEn,dai,dur,ni,ti
IE.GERMANIC.AFRIKAANS,Ek,blut,ben,bors,kom,stErf-dotxan,hont,driNk,or,ox,fur,fis,fol,hant,hor,horiN,kni,blor,lev3r,lEis,bErk,nam,nut-nuv3,nax,nes,en,pat,mEs,sin,fEl,stEr,klip,son,toN,tant,bom,twe,vat3r,os,y3i
IE.GERMANIC.ALSATIAN,ix,blu3t,knox3,bruSt,kum3,stErv3,hunt,driNk3,or,au,fir,feS,,hont,her3,,kni,blet,lEv3r,lis,bEri,nom3,nei,not,nos,eins,Stros,person,sE,hit,Stern3,Stan,sun,cuN,con,bam,cvei,vos3r,mir,di
IE.GERMANIC.BERNESE_GERMAN,ig,bluet,xnoxe,bruSt,xo,StErbe,huN,triNke,or,oug,fir,fiS,fou,hoN,ghere,horn,xnei,blot,lEbere,lus,bErg,nome,nei,not,nose,Eis,vEg,menS,gse,hut,StErn,StEi-xemp,sunne,cuNe,coN,boum,cwei,vosser,mir,du
IE.GERMANIC.BRABANTIC,ik-ik3,blut,bi3n,bEst-bEstn,kom,stEr3v,ont,driNk,u3r,u3x,fi,fis,fol,ant,u3r,iEr3,tnin,blat,lEiv3r,lo3s,bEr3x,nam,nit-nif,nat,nes,i3n,vesk3,mins,zi,fEl,stEr,sti3n,zon3,tuN,tant,bu3m,tvi3,vat3r,mE-vaEl3,ga
IE.GERMANIC.CIMBRIAN,ix,plut,poan,prust-puzamEn,khEm,sterb,hunt,trinkh,oar,oghE,boar,,bol-gabasEt,hant,hor,horn,,placa-lop,lEbara,laus,perg,namo,noy,naxt,naza-kanipa,,bEgale,menEs,zeg,,stErna-stEarn,khnoto-stoan,zuna,suNa-gaprext,,pom,sben,basar,bar,du-dE
IE.GERMANIC.DANISH,yEy,blo87,ben,brest,kam3,de7,hun7,drEg3,ea,ay3,il7,fesk,ful7,han7,hea,ho7an,knE7,blE8,lewa,lus,byEw7,naw7n,ni7,nEt,nEs3,e7n,sti7,mEnsk3,se7,hu87,styEan3,sten,sol,toN3,tEn7,trE7,to7,vEn7,vi,du
IE.GERMANIC.DANISH_2,yoy,blo78,be7n,boX7m,kom3,de7,hun7,dXeg3,er3,oy3,il7,fesg,ful7,hon7,hea,ho7rn,knE7,bla8,le7v3r,lu7s,byEX7w,now7n,ni7,nad,nEs3,e7n,sdi7,mennesg3,se7,hu87,sdyEan3,sde7n,so7l,toN3,tan7,trE7,to7,van7,vi,du
IE.GERMANIC.DUTCH,ik,blut,ben,borst,kom3n,stErv3n,hont,driNk3n,or,oX,vir,vis,vol,hant,hor3n,horn,kni,blat,lev3r,l3is,bErx,nam,niu,nat,nes,en,pat-vEx,pErson-mEns,zin,h3id-vEl,ster,sten,zon,toN,tant,bom,tve,vat3r,vEi-v3,yEi-y3
IE.GERMANIC.DUTCH_2,ik,blut,bot-b3-knok,buzEm,kom3,stErv3-ovErlEid3,hont,drink3,or,ox,vir,vis,vol,hont,hor3,horn,kni,blot,levEr,l3is,bErx,nam,niu,noxt,nes,en,pot,mEns,zin,hEit,ster,sten,zon,toN,tont,bom,twe,wat3r,w3-wEi,y3-yEi
IE.GERMANIC.EASTERN_FRISIAN,ik,,knak3n,bo3st,,dotblev,hun,driNk,gaf3l,og3,fia,fisk,ful,han,her,,kne,blat,lEba,lus,baak,nom3,nEi,nat,nes-nEs,en,vek,minS,kik,hut,stean,sten,sin,,tan,bom,tve-tvEi,vata-vota,vi,
IE.GERMANIC.ENGLISH,Ei,bl3d,bon,brEst,k3m,dEi,dag,driNk,ir,Ei,fEir,fiS,ful,hEnd,hir,horn,ni,lif,liv3r,laus,maunt3n,nem,nu,nEit,noz,w3n,pE8,prs3n,si,skin,star,ston,s3n,t3N,tu8,tri,tu,wat3r,wi,yu
IE.GERMANIC.ENGLISH_2,ai,blod,b3un,buz3m,kom,dai,dog,driNk,i3,ai,fai3,fiS,ful,hEnd,hi3,hon,ni,lif,liv3,laus,mauntin,neim,nyu,nait,n3uz,won,po8,hyum3n,si,skin,sto,st3un,son,toN,tu8,tri,tu,wot3,wi,yu-8au
IE.GERMANIC.FAROESE,Eg,ble,boin,brest,khoma,doigya,hundur,drekha,oira,Eiga,Eldur,fiskur,fudlur,hond,hoira,hodn,khnEa,bla,livur,lis,fyadl,navn-nam,nuigyur,not,nes,oin-oit,geta-vEgur,mEdniSa,suigya,Sidn,Serna,stoinur,sel,tuNga,todn,trEa,tvoir-tvEi,vatn,vit,ti
IE.GERMANIC.FRANS_VLAAMS,ik,blut,ben,borst,kom,dotga,unt-ount,driNk,or3,og3,fir,fiS,ful,ant,or,,kni,blEt,lev3r,lus,berk,nEm3,nieu,nat,niuz3,en,vek,mEnS,zi,fEl,stEr3,sten,zun3,tuN3,tant,bom,tve,vEt3r,mE-vid3r,gi-yE
IE.GERMANIC.FRISIAN_WESTERN,ik,blu3t,boNk3,bo3st-bast,kom3,styEr3-di3gi3n,hun,driNk3,i3r,i3x,fyu3r,fisk,fol,hon,hyEr3-hi3r3,ho3n-hwan,knib3l,blEt,lew3r,lis,bErx,nam3,nEy-nEi,nat,nes-nas3,i3n-yin,dik-dEik,minsk,syEn,hut,styEr,sti3n,sin3,toN3-toNg3,tosk,bi3m-byEm,twa-tva,vEt3r,vEi,do-yo
IE.GERMANIC.GJESTAL_NORWEGIAN,Eg,blo,bEin,,koma,dEy,hon,drika,Eyra,aua,el,fisk,,hon,hEyra,,,bla,livr,lus,fyedel,nabn,nie,not,nase,en,veg,menesye,syo,syin,syEdna,steiden,sol,toNa,ton,tre,to,vaten,me,
IE.GERMANIC.GOTHIC,ik,blo8,,brusts-barms,kwiman,diwan-dau8nan,hunds,driNkan,auso,auxo,fon-hauri,fisks,fuls,handus,hausyan,horn,kniu,laufs,,,fErguni-bErgs,namo,niuyis,nats,,Ens,staixa-wigs,mana,sEhwan,fil,stErno,stains-halus,sauil-suno,tuNgo,tun8us,bagms-triu,twE,wato-ahwa,wis,8u
IE.GERMANIC.ICELANDIC,yEx,plou8,pein,pryoust,khoma,teiya,hintir,trEka,eira,eixa,Eltir-paul,fiskir,fitlir,hEnt,heira,hortn,hnyE,pla8,livir,lus,fyatl-fEtl,navn,nir,nout,nev,eitn,stixir-kata,manEsTa,syau,hu8-sTin,styartna,steitn,soul,thuNka,thEn,thryE,thveir,vatn,vi8,8u
IE.GERMANIC.ICELANDIC_2,yEx,plou8,pEin,pormir,khomo,tEiyo,hintir,trEhko,Eiro,Eixo,Eltir,fiskir,fidlir,hEnt,hEiro,hortn,khnyE,plo8,livir,lus,fEtl-fyotl,nopn,nir,nouht,nEv,Eitn,stixir,mo8ir-monnEskyo,syou,hu8-sTinn,styordno,stEitn,soul,thuNko,thEnn,thryE,thvEir,vohtn,vi8,8u
IE.GERMANIC.JAMTLANDIC,yex,bru,bein,br3st,khumu,dEi,h3n,drEk,er,33x,eil,fisk,f3l,han,her,hun,kne,l33v,lev3r,l3s,barx,namn,ni,nat,n3s3,ein-et,stix,mEniS,si,h3,SEn,stein,sur,thuN,than,tre,tvu,vatn,ma,d3
IE.GERMANIC.LIMBURGISH,ix,blot,knok,bros-bors,kom3,StErv3-tir3,honty-honC,driNk3,lac-ur,oux,fur,vES,fol,hanty-hanC,hur3,hor3,kne,blat,lEv3r,lus,bErk,nam,niy,nax,nas,Ein,pat,minS,ze,hut,Star,StEin,zon,toN,tanty-tanC,boum,tvi,vat3r,fer,du
IE.GERMANIC.LUXEMBOURGISH,Ex,blut,SaNk-knax,broSt,kom3n,StiErv3n,hond,dreNk3n,ou3r,,fai3r,feS,fol,hand,heiEr3n,har-hu3r,knei,blat,liEv3r,laus,biErg,num,nai,nu3t,nu3s,ent,pad-ve,mEnS,g3zin-kuk3n,haut,StEr,Sten,zon,coN,cant,bam,cve,vas3r,mir,du
IE.GERMANIC.NORTHERN_LOW_SAXON,ik,blot,knok3n-knak3n,borst3n-bost,kam-kom,starv-dotbliv,hunt,driNk,or-ur,ok,fi3r-fir,fiS,ful-fol,hant,her-hir,horn-hurn,kne,blat,lev3r-lEv3r,lus,bark,nam-nom,ne-ni,nat,nes-nEs,en,pat,minS,ze,hut,stern-stirn,sten,zin,tuN,ten-tEn,bom,tve,vat3r-vot3r,vi,du
IE.GERMANIC.NORTH_FRISIAN_AMRUM,ik,blut,bian-knok,brast,kEm,stEr3v,hi5,draNk,uar,uk,ial,fask,fol,hun,hiar,hurn,knebian,blet,liv3r,lis,bErak,nem,nEi,nat,nes,ian,stix-vai,minsk,sE,skan-hity,stEr,stian,san,toN,tus,bum,tau,ved3r,vi,di
IE.GERMANIC.NORWEGIAN_BOKMAAL,yEi,blud,bEin,briN3-brist,kom3,de,h3nd,drik3,er3,ey3,ild,fisk,f3l-f3lt,hond,her3-lit3,horn-hon,kne,blod,lev3r,l3s,bErg-fyEl,navn,ni,not,nes3,En-Et,vEi-sti,mEnesk3,se,h3d-Sin,styErn3-sCErn3,stEin,sol,t3N3,ton,tre,tu,von,vi,d3
IE.GERMANIC.NORWEGIAN_BOKMAAL_2,yEy,blu,bEyn-knok3l,borm,kom3,de,h3n,drik3,er3,Ey3,il,fisk,f3l,hon,her3,hurn,kne,bla,lev3r,l3s,bErg-fyEl,novn,ni,nat,nes3,en-Et,sti,mEn3sk3,se,h3d-Sin,styErn3,stEyn,sul,tuN3,ton,tre,tu,von,vi,d3
IE.GERMANIC.NORWEGIAN_NYNORSK_TOTEN,je,bLu,bein,bringe,komo,dei,biS3,drek3,er3,3wve,el,fisk,ful,hEn,her3,he5,kne,lewv,lev3r,lus,fjel,namn,ni,nat,noso,e5,stig,pESun,So,hu,stjEn3,stein,suL,tuN3,tEn,tre,tu,vatn,vi,du
IE.GERMANIC.NORWEGIAN_RIKSMAL,yeg,blod,ben,,kome,de,hund,drike,ere,eye,varme,fisk,,hond,here,,,blad,lever,lus,fyel,navn,ni,nat,nese,en,vei,meneske,se,hud,styerna-styerne,sten,sol,tuNe,tan,tre,to,van,vi,
IE.GERMANIC.OLD_ENGLISH,ik,blod,ban,breost,kim8,stierf8,hund,driNk8,eare,eage,fir,fisk,ful,hand,hier8,horn,kneow,leaf,lifer,lus,beorg,nama,niowe,nit,nosu,an,weg-strEt,man,sie8,hid,steora,stan,sune,tuNe,to8,treow,twegen,wEter,we,8u
IE.GERMANIC.OLD_FRISIAN,ik,blod,ben,briast-brust,kuma,lica-stErva,hund,driNka,ar3,ag3,fior,fisk,ful,hand,hera,horn,kni,blEd,livEr3,,bErx,nama,ni3,nat,nos3,en,pa8-vEi,lif-man,sia-skavia,fEl-hed,stera,sten,sun3,tuN3,to8-tusk,bam-tre,tva,vat3r,vi,8u
IE.GERMANIC.OLD_HIGH_GERMAN,hik-ix,bloat,bein,brust,kweman,sterban,hunt,triNkan,ore,ouga,fiur,fisko,fol,hant,horen-gihoren,horn,knio,loub-blat,lebara,,berg,namo,niuwi,nat,nasa,eino,pad-weg,man,sehan,huti,stern,stein,suna,cuNa,cand,lus,cwei,wazar,wir,du
IE.GERMANIC.OLD_LOW_FRANCONIAN,ik,bluod,ben,,kuman,stErvan,hund,driNkan,leor-ora,oga,fuir,,fol,hand,hor3n,horn,,,,,bErg,namo,nuvi,nat,,Ein,far8-vEg,man,sian,hud,,stEin,suna,tuNa,tand,bom-holt,tven3-tvi,vat3r,vi,8u
IE.GERMANIC.OLD_NORSE,Ek,blo8,bEin,bryost-briNga,koma,deya,garmr-hundr,drEka,Eira,auXa,Eldr,fiskr,fulr,hond,hEira,horn,kne,bla8,lifr,lus,bErg-fyal,nafn-kal,nir,nat,nEf-nos,Ein,gata-stigr,maneskya-gumi,sya,fEl-skin,styarna,halr-stEin,sol-suna,tuNga,ton,ba8mr-trE,twEir,watn,mer-wer,8u
IE.GERMANIC.OLD_SAXON,ik,blot,ben,briost,kuma,svElta-doia,hunt,driNkan,ora,oga,fiur,fisk,ful,hant,gihoria-horia,horn,knio,blat,,lus,bErg,namo,niuvi,nat,nasa,en,vEg-si8,man-gumo,giseha-seha,hud,stEro,sten,suna,tuNa,tant,bom,tven3,vatar,vi,8u
IE.GERMANIC.PLAUTDIETSCH,ax,blout,knoka,bossam-brost,koma,stova-omkoma,hunt,drinxa,,uog,fio-braunt,feS,fol,haunt,heora,huorn,xnai,blaut,lavo,lus,boS,noma,ni,not,nas,aint,stiS,menS,sai,hut,staorn,stain,son,tuN,tan,boum,tvai,voto,vi,du
IE.GERMANIC.PROTO_GERMANIC,ekan,blo8an,bainan,breustan,kwemanan,,xun8az,drinkanan,auzon,,,fiskoyanan,,handuz,hauzyanan-hauryanan,,knewan,laubhan,libhro,hnito,,namon,newyaz,,,ainaz,pa8a,wextiz,sexwanan,,sterson-sterno,stainaz,sunon,tunxon,tan8-tun8,trewan,twai,watar,wiz,iuwiz
IE.GERMANIC.RIPUARIAN_GERMAN,iX,blut-blot,,buXS-boZS,kom3,StEr3v3,hoNk,dreNk3,uX,ox,fir-for,fEZS,v3l-f3l,hant,hiX3,hoXn,knen,blad3X,lab,lus,bEr3X,nam3,noy-ney,nat,nas,en,weyX-pat,mEnS,zen,,SteXn,Sten,zon,coN,caNk,bom,cwei,wazs3r,mir-miX-meX,du
IE.GERMANIC.SALLANDS,ik,,,,kom7n,stErv3n,hond,drink7n,or,og3,vir,vis,voll3,hand,hEr3n,,kne,,,,,nam3,niy3,naXt,nEze,en-en3,pad,pErson-mEns,zen,,stErr3,sten,zinn3,toN3,tand,bom,twe,wat3r,wi,u-iy
IE.GERMANIC.SANDNES_NORWEGIAN,Eg,blo,bEin,,koma,dEy,hon,drika,Eyra,Eya,el,fisk,,hon,hEyra,,,bla,lever,lus,fyedel,navn,nie,not,nase,en,vei,menesk,se,syin,styerna,steiden,sol,toNa,ton,tre,to,vaten,me,
IE.GERMANIC.SAXON_UPPER,iS,pl3t,knoN,pXust,kom,StEam,hunt,tXiNkN-kudln,,oX3-gukS3,foia,fiS,fol,hont-fod3,hean,hoan,kni,plot,lEba,lous,bEak,nom3,noi,not,noz3,ens,fot-veS,mEnS,zen-kukN,hout,StEan,Stoin,zon3,cuN3,con,bom,cve,vosa,mia,d3
IE.GERMANIC.SCOTS,a-3,blid,ben,birzk3t-borzk3t,kam-k3m,di,dog-doug,driNk-bEb,ir,i-kik3r,f3i3r-iN3l,fiS,fu,hond-han,hir,horn,ni-kni,lif-blad,,lus-puli,bEn-montin,nem,nyu,nit,noz-nEb,en-e,pad-p38,bodi,si,skin,starn-blENk3r,sten,son-sin,toN,te8-ti8,tri,two,wat3r,wi-w3,yi-yu
IE.GERMANIC.STANDARD_GERMAN,ix,blut,knoX3n,brust,khom3n,Sterb3n,hunt,triNk3n,or,aug3,foia,fiS,fol,hant,her3n,horn,kni,blat,leb3r,laus,bErk,nam3,noi,naXt,naz3,ains,pfat-vek,mEnS,ze3n,haut,StErn,Stain,zon3,chuN3,chan,baum,cvai,vas3r,vir,du
IE.GERMANIC.STANDARD_GERMAN_2,iS,blut,knoX3n,buz3n,kom3n,StEab3n,hunt,tXiNk3n,oa,aug3,foia,fiS,fol,hant,heX3n,hoan,kni,blat,leba,laus,bEak,nam3,noi,naXt,naz3,ains,pfat,mEnS,ze3n,haut,Stan,Stain,zon3,cuN3,can,baum,cvai,vasa,via,du
IE.GERMANIC.STELLINGWERFS,ik-ik3,blut,boNk3-bin,bost-bost3n,kom,dotga-starv,hont,driNk,or,ok-og3,fur,fis,fol-fol3,hant,her,horn-tut3r,kniy3-knib3l,blat,lev3r,lus,bark,nEm3,niy-niy3,nat,nez3,ien-ien3,pat-vek,menske,kik-zi,hut-fEl,stern,stin,zun3,toN3,tan3,bom,tviE-tviEy3,vEt3r,wiy,y3-you
IE.GERMANIC.SWABIAN,i,blud,knoXE,bXuSt,khom,StEab-Stuab,hund,dXiNg,EalE,augE-oiglE,fuia,fiS,fol-ful,hEnd,hea,hoan,knui,blad,leba,laus,bEag,nom-nomE,noi,nad,ciNgE-nas,ois,veg,mEnZE,se,haut,StEan,Stoi,sonE,cuN-cuNE,can,bom,cvoi,vaza-voza,mia,du
IE.GERMANIC.SWEDISH,yog,blud,ben,brEst,komE,de,h3nd,drikE,3rE,3gE,eld,fisk,f3l,hEnd,hurE,hun,knE,lev,lev3r,lus,bEry,nEmn,ni,nEt,nEsE,et,stig,mEniSxE,se,Sxin,SxEnE,sten,sul,t3NE,tEnd,trEd,tvo,vEt3n,vi,du
IE.GERMANIC.SWEDISH_2,yog,blud,ben,barrm,komma,de,h3nnd,drikka,Era,ega,Elld,fissk,f3ll,hannd,hEra,hun,knE,lev-blod,lev3r,l3s,bErrg-fyEll,nammn,ni,natt,nEsa,en-Ett,stig,mEnniska,se,h3d-inn,Ena,sten,sul,t3NNa,tannd,trEd,tvo,vatt3n,vi,d3
IE.GERMANIC.TWENTS,ik3n,blod,bot,bErst3,kEmn,stearvn,hond-hEn-hond3,drenkn-drEnkn-dreinkn,orn-Ern,kik3r,vEr,vis,vol,hand3,hErn,hErn,kne-knai-kni,blar,lEv3r,lus-luz,bearx3,nams-nam3,niy,naxt3,nEs-nEz,ean-ein-in-en3,pad-pEd,person-meansk3,kikn-zen,vEln-hud,stern,sten-stEn,zin3,toNn-toN3,tan,bEm,twe,woat3r,wiy,du-t3
IE.GERMANIC.WESTVLAAMS,ik3-ik,blut,bEen-bon3,borst3n-bost,kom,dotgoa-stErv,ont-hont,drink,or3,og3,fir,fis-fis3l,ful,ant-hant,or3-or,orn3-horn3,kni-ni,lof,levEr3-levr3,luz3,bErk,naom3,nieu,nat,niuz3,Een-yin,pat,,zi,fEl,stEr3,stEen-styin,zun3,toN3,tant,bom,tvEe-tvyi,vaotEr3-vaotr3,ve-vidr3,gi3-y3
IE.GERMANIC.WYMYSORYS,ix,bwut,knoxa,,kuma,Starwa,hunt,trinkia,onn,og,foyer,fiS,fow,hant,hyEn,,,,,,gibyEg,nama,noy,naxt,naz,as,wak,gihyEt-menC,zan,faw,Starn,Sta5,zun,cu5n,,bom,cwu,wasser,wir,du
IE.GERMANIC.YIDDISH_EASTERN,iX,dam,bEn,brust,kom3n,Starbn,hunt,triNk3n,oy3r,og,fay3r-srEif3,fiS,ful,hant,hErn,horn,kni,blat,lEb3r,los,barg,nom3n-SEm,nai,nat,noz,Ens,dErEX,pErzon,zE3n,hot,StErn,StEn,zun,cuN,con,bom,cvEi,vas3r,mir,du
IE.GERMANIC.YIDDISH_WESTERN,ix,blut,beyn,,kumen,Starbn-niftervern,hunt-keylev,trinken,oyer,oyg,fayer,fis,ful,hant,hern,horn,kni,blat,laber,loyz,barg,nomen,nay,naxt,noz,eyn,vegl,perzon,zen,hoyt,Stern,Steyn,zun,tsung,tson,boym,tsvey,vaser,mir,du
IE.GERMANIC.ZEEUWS,ik3,blu3t,ben,bost,kom3,dotxa3,ont,driNk,or3,ox3,fir,fis,fol,ant,or3,orn,kni3,blat,lev3r,liz3,bErk,nEm3,niw-niu,nat,nez3,en3,pat,mEns3,zi3,fEl,star3,sten,zun3,tuN3,tant,bom,tve3,vEt3r,ons,ji
IE.GREEK.GREEK,exo,ema,kokalo-osto,sti8os-mastos,erxo,pe8en-ap,sTili-sTilos,pin,afti,mati-of8almos,fotya,psari,yematos-pliris,xeri,aku,Terato-Teras,xonato,filo,sikoti-ipar,psira,vuno-oros,onoma,neos-Tenuryos,nita,miti,enas-ena,8romos,an8ropos,vlep,petsi-8erma,asteri-astro,petra,ilyos-iLos,xlosa,8ondi,8endro,8yo-8io,nero,emis,esi
IE.GREEK.GREEK_ANCIENT,ego,haima,oston,sternon-stEthos,erkhesthai,apothnEiskein-teleutan,kion,pinein,os,ophthalmos-oma,pir,ikhthis,pestos-pleos,kheir,akoein,keras,goni,philon,hEpar,phtheir,oros,onoma-doksa,neos-kainos,niks,rhis,heis-mia,odos-atrapos,anthropos-anEr,horan-blepein,khros-derma,astEr-astron,lithos-petra,hElios,glota-glosa,odos,dendron,dio,hidor,Emeis,si
IE.GREEK.MODERN_GREEK,exo,ema,osto-kokkalo,sti8os,erxome,pe8eno,sTili-sTilos,pino,avti,mati-of8almos,fotia,psari,Sematos,Seri,akuo,Teras-Terato,xonato,filo,ipar-sikoti,psira,oros-vuno,onoma,neos-TenurSos,nixta,miti,ena,monopati,an8ropos,vlepo,petsi,astro-asteri,petra,ilios,xlosa,8ondi,8endro,8io,nero,emis,si-esi
IE.INDIC.AGRA_GUJARI,mai,Lou,h3di,C3ti,an3,m3r,kut3,pi,kan,akh,ag,m3Chi,,,sun,siNg,,p3t3,,,,na,n3wa,rath,nakh,ekh,ra,manos,dhEkh,khal,tar3,p3t3r,suraZ,jib,d3nt,rukh,do,pani,h3m,t3m
IE.INDIC.ASHRET_PHALURA,m3,rath,h3duNk,CiCi,ya,muro,kuCuro,pi,kan,3Chi,aNgor,rem3c,,hath,Suto-katha,SiNg3,,pala,,,,no,nao,rot,nast,ak,pand,miS,daCi,pusto,toro,bat,suri,jib,dand,mot,du,bi,bE,tu
IE.INDIC.ASSAMESE,moe,taz,har,,ah,mor,kukur,pi,kan,soku,zui,mas,bhora,hat,xun,xiN,,pat,zokrit,okoni,porbot,nam,notun,rati,nak,ak-ek,bat,purux,dakh,sal,tora,xil,xurzzo,zibha,dat,gos,dui,pani,ami,
IE.INDIC.ATTOCK,me,low,hodi,sino,,mor,kuta,pi,kon,okh,og,moCi,,,sun,siN,,potor,,,,na,nowa,rat-Sam,nok,ek,ra,jona,wekh,Comro,tara,wota,deo,jib,dond,buta,do,pani,osi,tu-tusi
IE.INDIC.ATTOCK_CITY_HINDKO,me,lou-r3t,h3di,sin3,a,m3r,kuta,pi,k3n,3kh,3g,m3Ci,,ba,sun,siNg,,p3t3r,,,,na,n3wa,rat,n3k,hEk,ra,b3nda,t3k-wekh,C3mri-mas,tara,w3t3,deo,jib,d3nd,buta,do,pani,3si,tu
IE.INDIC.AWADHI,m3i,khun,har,aTar,a,m3r,kut3wa,pi,kan,akhi,agi,maCeriz,bh3ri,hath,sun,,thenuna,pata,,jua,,nau,n3i,rati,nekura,ek,paira,j3ne,dekhu,Tam,n3kh3t,path3r,gham,jibh,dat,birawar,dui,pani,h3m,tui
IE.INDIC.BAGRI,me,loi,har,,aja,margyo,gantak,piye,kan,dil,baste,maCi,,hath,su5o,siN,,pato,,,duN3r,nam,nuo,rat,nak,Ek,ra,ma5us,dekhyo,Camdi,tara,bato,surej,jib,dant,darkat,do,pani,me,tu
IE.INDIC.BALAKOT_HINDKO,me,r3t,h3di,sin3,ao,m3r,kut3,pi,k3n,3kh,3gh,m3Chi,,ba,su,siNg,,p3t3r,,,,na,no3,rath,n3k,ek,ra,j3na-b3nda,dEx,C3m3ri,tara,b3tha,di,jib,dh3nd,buta,do,pani,3si,tu
IE.INDIC.BANATISKI_GURBET_ROMANI,me,rat,kokalo,SuSi,avela,merela,Zukel,pela,kan,yakh,yag,maSo,hardo,vas,aSunela,rogo,Sang,patrin,buko-yetra,piSom-Zuva,planina,anav,nevo,ryat,nakh,yek,staza,,dikhela,morkhi,Serain,bar,kham,Sib,dand,kaS-privin,duy,pay,ame,tu
IE.INDIC.BENGALI,ami,rokto,hari,buk,aS,mor,kukur,pan,kan,Cokh,agun,maCh,bhora,hat,Son,SiN,hatu,pata,kolje,ukun,pahar,nam,notun,ratro-rat,nak,ek,rasta-poth,manuS-lok,dekh,Camra,tara,pathor,Surjo,jibh-jiba,dat,gaCh,dui,pani-jol,amra,tumi-apni
IE.INDIC.BENGALI_2,ami,rokto,osthi,Ston,aSa,marajauwa,kukur,pankora,korno,Cokkhu,ogni,maCh,purno,hat,Sona,SiN,hatu,porno,jokrit,ukun,porbot,nam,nob-nuton,ratri,nak,ok,poth,nor-manuS,dekha,ttok,nokkhotro,dhil-prostor,Sureo,jihoba,dato,gaCh,dui,jol,amora,tumi
IE.INDIC.BIORI_PHALURA,m3,rath,h3duNk,CiCi,ya,muro,kuCuro,pi,kan,3Chi,aNgar,rem3c,,hath,Suto-katE,SiNg3,,pala,,,,no-nam,nao,rot,nast,ak,pand,miS,daCi-dahE,pusto,toro,bat,suri,jip,dand,mot,du,bi,bE,tu
IE.INDIC.BROK_SKAD,mo,lwol-lol,3tti-3thi,kro,is-es,minis,xwo,pis,k3ni,3thi,gur,5o,peret-punzol,hoth-hot,kotis,xiN,kuto,p3ni,gim-Thinmo,zwo,ruN,nu,n3y,rot,nuto,,pun,,ski,thuro-Zetthuro,turi-sk3rmo,noro,suri,lCa,d3ni,sitok-T3gmo,du,wa,bo,tu
